user_pseudo_id,first_date,segment_72h,search_72h,view_item_72h,scroll_72h,add_to_cart_72h,begin_checkout_72h,purchase_72h,sessions_72h,view_item_events_72h,retained_post72h_d30
4122036411.9245839124,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
4131123570.6743584211,2020-12-27,product_viewer_scroll_72h,0,1,1,0,0,0,1,3,0
4214047915.1516360931,2020-12-27,low_engagement_72h,0,0,1,0,0,0,1,0,0
4536761950.3239169192,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
4584609749.3429234943,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
5460030739.3796110125,2020-12-27,low_engagement_72h,0,0,1,0,0,0,1,0,0
6516340126.6960230483,2020-12-27,low_engagement_72h,0,0,1,0,0,0,1,0,0
6933027237.3789935581,2020-12-27,low_engagement_72h,0,0,1,0,0,0,1,0,0
7660904711.8484399231,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
8613749209.1599127750,2020-12-27,product_viewer_scroll_72h,0,1,1,0,0,0,1,3,0
9039886721.9981536964,2020-12-27,low_engagement_72h,0,0,1,0,0,0,1,0,0
1676773.5069362381,2021-01-05,product_viewer_scroll_72h,0,1,1,0,0,0,3,8,1
1683135.7204561691,2021-01-05,low_engagement_72h,0,0,1,0,0,0,2,0,0
2014270.2546235318,2021-01-04,product_viewer_scroll_72h,0,1,1,0,0,0,3,2,0
5498551.9832105092,2021-01-04,product_viewer_scroll_72h,0,1,1,0,0,0,2,1,0
6327591.6860354652,2021-01-05,product_viewer_scroll_72h,0,1,1,0,0,0,6,11,0
61510554.8051760446,2021-01-05,low_engagement_72h,0,0,1,0,0,0,2,0,1
85823716.6389502393,2021-01-05,product_viewer_scroll_72h,0,1,1,0,0,0,2,2,0
1043074.6928752722,2020-12-30,low_engagement_72h,0,0,1,0,0,0,2,0,0
1115711.8169927401,2020-12-30,low_engagement_72h,0,0,0,0,0,0,1,0,0
1135880.5783364585,2020-12-30,low_engagement_72h,0,0,0,0,0,0,1,0,0
1246281.9918849621,2020-12-30,low_engagement_72h,0,0,0,0,0,0,1,0,0
1351111.3315925292,2020-12-30,low_engagement_72h,0,0,1,0,0,0,1,0,0
1557861.4942577560,2020-12-30,low_engagement_72h,0,0,0,0,0,0,1,0,0
1559749.7414303770,2020-12-30,low_engagement_72h,0,0,1,0,0,0,1,0,0
1730507.7685215848,2020-12-30,low_engagement_72h,0,0,1,0,0,0,1,0,0
1782990.9157916866,2020-12-30,low_engagement_72h,0,0,1,0,0,0,1,0,0
2094352.7569954571,2020-12-30,product_viewer_scroll_72h,0,1,1,0,0,0,1,1,0
2164368.4088146919,2020-12-30,low_engagement_72h,0,0,0,0,0,0,1,0,0
2301015.7868167880,2020-12-30,low_engagement_72h,0,0,0,0,0,0,1,0,0
2304403.4448701939,2020-12-30,low_engagement_72h,0,0,1,0,0,0,1,0,0
2390570.7421014604,2020-12-30,low_engagement_72h,0,0,0,0,0,0,1,0,0
2395248.1649835511,2020-12-30,low_engagement_72h,0,0,1,0,0,0,1,0,0
2498808.2374520702,2020-12-30,low_engagement_72h,0,0,0,0,0,0,1,0,0
2542024.2662075360,2020-12-30,low_engagement_72h,0,0,0,0,0,0,1,0,0
2672652.6244331418,2020-12-30,product_viewer_scroll_72h,0,1,1,0,0,0,1,2,1
2852263.1711899236,2020-12-30,low_engagement_72h,0,0,0,0,0,0,1,0,0
2897021.9213695933,2020-12-30,low_engagement_72h,0,0,0,0,0,0,1,0,0
3099069.1175895724,2020-12-30,low_engagement_72h,0,0,0,0,0,0,1,0,0
3194430.1440883366,2020-12-30,product_viewer_scroll_72h,0,1,1,0,0,0,1,4,0
3216902.6729494758,2020-12-30,low_engagement_72h,0,0,1,0,0,0,2,0,0
3243003.1367478173,2020-12-30,low_engagement_72h,0,0,1,0,0,0,1,0,0
3273706.2462765195,2020-12-30,checkout_intent_72h,0,1,1,1,1,0,1,1,0
3291231.4534331332,2020-12-30,low_engagement_72h,0,0,1,0,0,0,1,0,0
3338353.8237081207,2020-12-30,product_viewer_scroll_72h,1,1,1,1,0,0,1,8,0
3433812.6311488975,2020-12-30,low_engagement_72h,0,0,0,0,0,0,1,0,0
3444443.2910179373,2020-12-30,low_engagement_72h,0,0,0,0,0,0,2,0,0
3500383.5897241465,2020-12-30,low_engagement_72h,0,0,0,0,0,0,1,0,0
3555175.1306361410,2020-12-30,low_engagement_72h,0,0,0,0,0,0,1,0,0
